horizon,subset,method,n,threshold_p90,threshold_p95,bias_pred_minus_actual,underprediction_rate,mean_underprediction,worst_underprediction
6h,p90,tft,91,33.22700000000001,35.791999999999994,0.9827500622089098,0.5714285714285714,5.363972445267897,23.163583374023442
6h,p90,xgboost,91,33.22700000000001,35.791999999999994,-3.3613955054945053,0.6813186813186813,6.371089499999999,25.294319
6h,p90,prophet,91,33.22700000000001,35.791999999999994,-22.042356859242002,1.0,22.042356859242002,39.79057351511706
6h,p90,persistence,91,33.22700000000001,35.791999999999994,-11.078131868131868,0.8461538461538461,13.317272727272728,32.91
6h,p90,weighted,91,33.22700000000001,35.791999999999994,0.7518022800905526,0.5714285714285714,5.4859034072844235,23.34834293156287
6h,p90,stacking_original,91,33.22700000000001,35.791999999999994,0.21814039682633526,0.5714285714285714,5.9267042936474486,23.2559330174052
6h,p90,stacking_advanced,91,33.22700000000001,35.791999999999994,-0.17623477505293533,0.6043956043956044,5.809384980027794,23.671705152525913
6h,p95,gru,46,33.22700000000001,35.791999999999994,-13.455865808569865,1.0,13.455865808569865,33.28844223022461
6h,p95,lightgbm,46,33.22700000000001,35.791999999999994,-5.318838250752084,0.9130434782608695,5.976075210321744,23.205169823473657
6h,p95,lstm,46,33.22700000000001,35.791999999999994,-10.241814230213993,0.9782608695652174,10.478901363796657,31.4726921081543
6h,p95,random_forest,46,33.22700000000001,35.791999999999994,-6.277110989265713,0.8043478260869565,8.706069391160014,26.73722197971783
6h,p95,tft,46,33.22700000000001,35.791999999999994,-1.225502087136973,0.717391304347826,6.661932715213659,23.163583374023442
6h,p95,xgboost,46,33.22700000000001,35.791999999999994,-6.021686608695651,0.8695652173913043,7.3644524,25.294319
6h,p95,prophet,46,33.22700000000001,35.791999999999994,-23.17430141007959,1.0,23.17430141007959,39.79057351511706
6h,p95,persistence,46,33.22700000000001,35.791999999999994,-14.240434782608695,0.9130434782608695,15.676904761904764,32.91
6h,p95,weighted,46,33.22700000000001,35.791999999999994,-1.4866737187989734,0.717391304347826,6.7695804137462225,23.34834293156287
6h,p95,stacking_original,46,33.22700000000001,35.791999999999994,-1.9865977152084968,0.717391304347826,7.1836485615595445,23.2559330174052
6h,p95,stacking_advanced,46,33.22700000000001,35.791999999999994,-2.370875982343593,0.7391304347826086,7.250215333022175,23.671705152525913
