row_index,timestamp,sensor_id,city,feature,value,zscore_flag,mad_flag,iqr_flag,rolling_zscore_flag,isolation_forest_flag,lof_flag,anomaly_methods_triggered,methods,quality_flag,analytical_category
4282,2026-08-17T13:00:00Z,4,Nablus,aqi,41.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
5111,2026-08-17T13:00:00Z,5,Nablus,pm25,8.68,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
5111,2026-08-17T13:00:00Z,5,Nablus,temperature,40.56,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
5111,2026-08-17T13:00:00Z,5,Nablus,humidity,32.81,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
5111,2026-08-17T13:00:00Z,5,Nablus,aqi,48.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
4283,2026-08-17T13:15:00Z,4,Nablus,pm25,7.63,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
4283,2026-08-17T13:15:00Z,4,Nablus,temperature,42.49,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
4283,2026-08-17T13:15:00Z,4,Nablus,humidity,33.38,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
4283,2026-08-17T13:15:00Z,4,Nablus,aqi,42.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
5112,2026-08-17T13:15:00Z,5,Nablus,pm25,8.69,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
5112,2026-08-17T13:15:00Z,5,Nablus,temperature,40.34,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
5112,2026-08-17T13:15:00Z,5,Nablus,humidity,32.96,False,False,False,False,True,False,1,isolation_forest,NORMAL,LIKELY_ENVIRONMENTAL_EVENT
